Date,PL Account,Amount,Description,Counterparty
2024-01-09,R&D expenses:R&D software & other services,-4733.72,Transaction 368,Counterparty 368
2023-07-17,Professional services:Contractors,-3658.56,Transaction 369,Counterparty 369
2024-02-22,Donation,-2176.93,Transaction 370,Counterparty 370
2024-06-16,Travelling expenses,-1673.62,Transaction 371,Counterparty 371
2023-08-06,Taxes:State Taxes,187.09,Transaction 372,Counterparty 372
2023-12-14,R&D expenses,537.08,Transaction 373,Counterparty 373
2024-06-11,Marketing and sales:Other marketing expenses,2360.11,Transaction 374,Counterparty 374
2023-07-28,Growth subscription,1162.9,Transaction 375,Counterparty 375
2023-08-04,Marketing and sales:Sales bonus,620.4,Transaction 376,Counterparty 376
2024-01-15,Income tax payable,-3131.74,Transaction 377,Counterparty 377
2023-10-06,Marketing and sales:Other sales expenses,-987.45,Transaction 378,Counterparty 378
2023-07-13,Less:Discount,-4196.9,Transaction 379,Counterparty 379
2023-12-05,Marketing and sales:Advertising,-144.99,Transaction 380,Counterparty 380
2024-04-03,Other Expenses:PE Tax,2972.25,Transaction 381,Counterparty 381
2023-10-07,Travelling expenses,372.71,Transaction 382,Counterparty 382
2023-03-23,Payroll liabilities,3313.46,Transaction 383,Counterparty 383
2024-04-26,Available for sale assets (short-term),2018.33,Transaction 384,Counterparty 384
2023-07-25,Project's direct cost,3550.98,Transaction 385,Counterparty 385
2023-08-14,Marketing and sales:Sales team salary,3693.14,Transaction 386,Counterparty 386
2024-06-08,Dividends payable,-524.95,Transaction 387,Counterparty 387
2023-12-19,Marketing and sales:Advertising,-2771.84,Transaction 388,Counterparty 388
2023-08-04,Grants and other financial income,-905.62,Transaction 389,Counterparty 389
2023-08-17,Amortisation / Depreciation:Depreciation,2563.69,Transaction 390,Counterparty 390
2024-06-13,Mercury CHE *6028,-2610.21,Transaction 391,Counterparty 391
2023-06-26,Intangible Assets Accumulated Amortization,-541.68,Transaction 392,Counterparty 392
2023-12-23,Stripe,3571.0,Transaction 393,Counterparty 393
2023-11-16,Staff expenses:Other staff expenses,-1353.74,Transaction 394,Counterparty 394
2023-07-05,Liabilities related to assets held for sale,-4927.84,Transaction 395,Counterparty 395
2023-03-30,Stripe expenses,2973.23,Transaction 396,Counterparty 396
2024-06-06,Less,-2043.37,Transaction 397,Counterparty 397
2023-01-11,Professional services:Contractors,2546.31,Transaction 398,Counterparty 398
2024-06-07,Stripe Other fees,-3203.92,Transaction 399,Counterparty 399
2023-02-23,Stripe fees,-1158.84,Transaction 400,Counterparty 400
2024-05-16,Prepaid Income,4405.96,Transaction 401,Counterparty 401
2023-12-27,Interest Expenses,-3000.67,Transaction 402,Counterparty 402
2024-01-04,Office expenses,-2798.73,Transaction 403,Counterparty 403
2023-05-23,Share capital,-2436.69,Transaction 404,Counterparty 404
2023-01-23,Direct labour,1038.28,Transaction 405,Counterparty 405
2023-03-15,Current portion of long-term debt,-848.51,Transaction 406,Counterparty 406
2024-05-24,Marketing and sales:Advertising,-2923.21,Transaction 407,Counterparty 407
2023-05-13,Marketing and sales:Website improvements,-3912.46,Transaction 408,Counterparty 408
2024-05-16,Purchase & Sales of intangible assets,-4399.68,Transaction 409,Counterparty 409
2023-10-26,Marketing and sales:Other marketing expenses,4965.87,Transaction 410,Counterparty 410
2023-04-21,G&A expenses,-2865.47,Transaction 411,Counterparty 411
2023-09-05,"Property, plant and equipment",532.48,Transaction 412,Counterparty 412
2023-12-15,Professional services,574.9,Transaction 413,Counterparty 413
2024-04-29,Share capital,-2373.02,Transaction 414,Counterparty 414
2023-07-08,Bookkeeping subscription,4109.64,Transaction 415,Counterparty 415
2023-07-27,Travelling expenses,4620.69,Transaction 416,Counterparty 416
2023-09-03,Payroll liabilities,-2675.44,Transaction 417,Counterparty 417
2023-09-22,Project's direct cost,1974.01,Transaction 418,Counterparty 418
2023-01-02,Travelling expenses,-4973.96,Transaction 419,Counterparty 419
2024-02-17,G&A expenses:Salary G&A Tax Expenses,-1436.35,Transaction 420,Counterparty 420
2024-05-24,Accrued liabilities,1549.73,Transaction 421,Counterparty 421
2023-05-26,Taxes:Federal Taxes,3591.96,Transaction 422,Counterparty 422
2024-03-09,Staff expenses:Education,-189.32,Transaction 423,Counterparty 423
2024-04-19,Share capital,-4624.46,Transaction 424,Counterparty 424
2024-04-18,Project's direct cost:Subcontractors,-2147.62,Transaction 425,Counterparty 425
2023-08-10,Opening Balance Equity,1465.66,Transaction 426,Counterparty 426
2023-08-02,Marketing and sales:Refferal program,-2216.75,Transaction 427,Counterparty 427
2024-05-03,Marketing and sales:Other sales expenses,4393.9,Transaction 428,Counterparty 428
2023-06-19,Consulting,-549.77,Transaction 429,Counterparty 429
2023-09-05,Other Expenses:Social Tax,2099.63,Transaction 430,Counterparty 430
2023-03-04,Professional services:Financial & legal software,4043.53,Transaction 431,Counterparty 431
2023-04-12,Work in process,1127.28,Transaction 432,Counterparty 432
2023-02-01,Uncategorised Expense,1291.78,Transaction 433,Counterparty 433
2023-01-26,Less,-4461.17,Transaction 434,Counterparty 434
2024-04-09,Amortisation / Depreciation:Depreciation,2423.1,Transaction 435,Counterparty 435
2024-04-16,G&A expenses:Salary G&A Tax Expenses,786.23,Transaction 436,Counterparty 436
2023-11-23,G&A expenses,3860.13,Transaction 437,Counterparty 437
2023-11-26,Marketing and sales:Marketing team salary,-2023.95,Transaction 438,Counterparty 438
2023-09-03,CHASE CHE *8731,-3819.28,Transaction 439,Counterparty 439
2023-02-06,Project's direct cost:Subcontractors,-3312.49,Transaction 440,Counterparty 440
2024-02-24,Short-Term Investments,-1418.26,Transaction 441,Counterparty 441
2023-02-19,Income tax payable,3450.83,Transaction 442,Counterparty 442
2023-06-13,Amortisation / Depreciation:Depreciation,1483.73,Transaction 443,Counterparty 443
2024-03-17,Billable Expense Income,4464.19,Transaction 444,Counterparty 444
2024-02-01,Consulting,424.56,Transaction 445,Counterparty 445
2023-07-22,Marketing and sales:Design,-2018.05,Transaction 446,Counterparty 446
2023-01-23,Custom subscription,1403.0,Transaction 447,Counterparty 447
2023-05-20,Consulting,-3214.27,Transaction 448,Counterparty 448
2023-09-30,Staff expenses:Operational software,-4731.46,Transaction 449,Counterparty 449
2023-11-17,Marketing and sales:M&S team salary tax expenses,1459.96,Transaction 450,Counterparty 450
2024-01-28,Marketing and sales:Marketing software & other services,-4392.17,Transaction 451,Counterparty 451
2024-01-11,"Property, Plant And Equipment Accumulated Depreciation",2301.9,Transaction 452,Counterparty 452
2023-05-25,Accounts Receivable (A/R),1154.06,Transaction 453,Counterparty 453
2023-07-17,Accrued liabilities,4915.51,Transaction 454,Counterparty 454
2023-02-05,Professional services,-3395.08,Transaction 455,Counterparty 455
2023-10-06,Accrued non-current liabilities,375.38,Transaction 456,Counterparty 456
2024-05-05,Short-term debit,-4311.64,Transaction 457,Counterparty 457
2023-06-02,Stripe Other fees,-2815.17,Transaction 458,Counterparty 458
2024-03-06,Professional services:Professional services,3999.08,Transaction 459,Counterparty 459
2024-02-17,Custom subscription,4282.88,Transaction 460,Counterparty 460
2023-07-09,WISE EUR,-1612.47,Transaction 461,Counterparty 461
2023-03-28,Professional services:Bookkeeping,2451.38,Transaction 462,Counterparty 462
2023-07-27,Marketing and sales:Sales team salary,3595.7,Transaction 463,Counterparty 463
2024-05-06,"Property, plant and equipment",2323.93,Transaction 464,Counterparty 464
2023-08-11,Work in process,-2713.03,Transaction 465,Counterparty 465
2023-05-16,Marketing and sales:Refferal program,-568.32,Transaction 466,Counterparty 466
2023-04-15,Inventory,4114.0,Transaction 467,Counterparty 467
2023-11-16,Undeposited Funds,2330.58,Transaction 468,Counterparty 468
2023-11-06,Marketing and sales:Other sales expenses,-3852.61,Transaction 469,Counterparty 469
2023-06-07,Direct labour:Labour tax,1757.34,Transaction 470,Counterparty 470
2023-02-24,Dividend disbursed,-4264.86,Transaction 471,Counterparty 471
2023-04-12,Direct labour:Bonuses,-2691.49,Transaction 472,Counterparty 472
2023-11-11,Available for sale assets (short-term),1192.7,Transaction 473,Counterparty 473
2023-07-22,Other income,821.49,Transaction 474,Counterparty 474
2023-07-15,Amortisation / Depreciation,384.13,Transaction 475,Counterparty 475
2024-06-12,Goodwill,1382.76,Transaction 476,Counterparty 476
2023-02-25,Professional services:Financial & legal software,966.28,Transaction 477,Counterparty 477
2024-02-21,Opening Balance Equity,-1941.1,Transaction 478,Counterparty 478
2023-07-22,Marketing and sales:M&S team salary tax expenses,3171.05,Transaction 479,Counterparty 479
2023-11-30,Financial Modeling,123.06,Transaction 480,Counterparty 480
2024-01-26,Staff expenses:Recruitment software,3604.08,Transaction 481,Counterparty 481
2023-11-17,Goodwill,-1192.07,Transaction 482,Counterparty 482
2023-07-03,Intangible assets,2826.95,Transaction 483,Counterparty 483
2023-05-20,Direct labour:Bonuses,-3076.02,Transaction 484,Counterparty 484
2024-02-21,Sales,-4487.27,Transaction 485,Counterparty 485
2023-02-24,Custom subscription,-4617.02,Transaction 486,Counterparty 486
2024-05-13,Exchange Loss,1284.6,Transaction 487,Counterparty 487
2023-02-16,Taxes,4763.08,Transaction 488,Counterparty 488
2023-08-30,Bookkeeping (reporting),-2897.69,Transaction 489,Counterparty 489
2024-02-12,Direct labour:Labour tax,1182.19,Transaction 490,Counterparty 490
2024-05-10,Interest Expenses,3722.95,Transaction 491,Counterparty 491
2023-11-07,Professional services:Contractors,4832.39,Transaction 492,Counterparty 492
2023-04-15,Undeposited Funds,-3951.21,Transaction 493,Counterparty 493
2024-04-26,Interest Payable,-3635.86,Transaction 494,Counterparty 494
2023-04-16,Accrued non-current liabilities,1222.87,Transaction 495,Counterparty 495
2023-08-02,Less:Discount,-334.75,Transaction 496,Counterparty 496
2023-03-10,Purchase & Sales of property and equipment,2642.88,Transaction 497,Counterparty 497
2023-02-24,Other Expenses:Comissions and fees,4755.04,Transaction 498,Counterparty 498
2024-01-30,Prepaid expenses for projects,-3950.6,Transaction 499,Counterparty 499
2024-03-23,Prepaid expenses for projects,4676.11,Transaction 500,Counterparty 500
2023-03-22,Income tax payable,-2412.81,Transaction 501,Counterparty 501
2023-04-15,Staff expenses:Corporate events,2876.57,Transaction 502,Counterparty 502
2024-05-13,Loans to Others,-1198.91,Transaction 503,Counterparty 503
2024-01-29,Comissions and fees from sales:Stripe fee,4175.71,Transaction 504,Counterparty 504
2023-01-05,Project's direct cost:Subcontractors,3847.49,Transaction 505,Counterparty 505
2023-04-06,G&A expenses:Salary G&A,-2201.69,Transaction 506,Counterparty 506
2023-08-25,Inventory Asset,-2389.94,Transaction 507,Counterparty 507
2024-01-08,Short-Term Investments,851.3,Transaction 508,Counterparty 508
2023-03-08,WISE EUR,1079.62,Transaction 509,Counterparty 509
2024-03-06,Stripe expenses,-1904.66,Transaction 510,Counterparty 510
2024-02-26,Dividend disbursed,4968.25,Transaction 511,Counterparty 511
2024-06-12,Bookkeeping subscription,-4663.63,Transaction 512,Counterparty 512
2024-04-13,Comissions and fees from sales:Stripe fee,4370.63,Transaction 513,Counterparty 513
2023-01-16,Marketing and sales:Sales software & other services,1911.35,Transaction 514,Counterparty 514
2024-05-15,Staff expenses:Corporate events,4587.98,Transaction 515,Counterparty 515
2024-02-04,Exchange Gain,2552.36,Transaction 516,Counterparty 516
2023-07-06,Other Expenses:Other general and administrative expenses,-949.56,Transaction 517,Counterparty 517
2024-01-06,Undeposited Funds,2804.19,Transaction 518,Counterparty 518
2024-03-11,Mercury Checking *8932,1189.26,Transaction 519,Counterparty 519
2023-09-14,Taxes:State Taxes,-4485.34,Transaction 520,Counterparty 520
2024-03-18,G&A expenses,3849.81,Transaction 521,Counterparty 521
2023-10-17,Interest Payable,-3456.91,Transaction 522,Counterparty 522
2023-01-06,Loans to Others,3451.41,Transaction 523,Counterparty 523
2023-04-25,R&D expenses:R&D team salary,2681.05,Transaction 524,Counterparty 524
2024-01-28,Intangible Assets Accumulated Amortization,-3575.37,Transaction 525,Counterparty 525
2023-04-09,R&D expenses:R&D team salary tax expenses,2876.69,Transaction 526,Counterparty 526
2023-08-12,G&A expenses,373.18,Transaction 527,Counterparty 527
2023-07-20,Purchase & Sales of intangible assets,1022.43,Transaction 528,Counterparty 528
2024-03-04,Taxes:State Taxes,-2796.97,Transaction 529,Counterparty 529
2023-09-27,G&A expenses:Salary G&A Tax Expenses,4117.89,Transaction 530,Counterparty 530
2024-04-24,Other income,-2124.38,Transaction 531,Counterparty 531
2024-04-28,Stripe fees,-2416.27,Transaction 532,Counterparty 532
2023-06-09,Direct labour:Project team salary,340.43,Transaction 533,Counterparty 533
2023-07-10,Professional services,4129.59,Transaction 534,Counterparty 534
2023-02-17,Dividends payable,534.15,Transaction 535,Counterparty 535
2023-07-07,Income tax payable,4099.73,Transaction 536,Counterparty 536
2024-02-16,Grants and other financial income,4208.21,Transaction 537,Counterparty 537
2024-06-09,G&A expenses:Salary G&A,700.12,Transaction 538,Counterparty 538
2023-08-28,Office expenses:Rent,-2415.45,Transaction 539,Counterparty 539
2024-02-13,Stripe Other fees,2787.97,Transaction 540,Counterparty 540
2023-07-10,Grants and other financial income,4798.16,Transaction 541,Counterparty 541
2023-06-06,Less:Discount,-3400.48,Transaction 542,Counterparty 542
2023-03-01,Mercury Savings *6214,-161.21,Transaction 543,Counterparty 543
2023-03-04,Inventory Asset,2292.61,Transaction 544,Counterparty 544
2024-05-25,Other Expenses:Social Tax,401.89,Transaction 545,Counterparty 545
2023-05-16,Growth subscription,-2145.17,Transaction 546,Counterparty 546
2023-03-04,Amortisation / Depreciation:Depreciation,-4072.63,Transaction 547,Counterparty 547
2023-05-12,Stripe fees,-228.67,Transaction 548,Counterparty 548
2024-01-15,Stripe expenses,3611.52,Transaction 549,Counterparty 549
2024-03-22,Cost of sales,1842.73,Transaction 550,Counterparty 550
2024-03-10,WISE USD,-4012.11,Transaction 551,Counterparty 551
2023-09-27,Stripe Other fees,-4144.78,Transaction 552,Counterparty 552
2024-01-22,Marketing and sales:Marketing team salary,-4120.58,Transaction 553,Counterparty 553
2023-07-06,Consulting,-1932.25,Transaction 554,Counterparty 554
2023-11-20,WISE USD,254.34,Transaction 555,Counterparty 555
2024-01-02,Mercury Savings *6214,3268.36,Transaction 556,Counterparty 556
2023-01-01,Less,-1441.91,Transaction 557,Counterparty 557
2023-11-03,Direct labour:Project team salary,-1405.97,Transaction 558,Counterparty 558
2024-02-29,Accounts Receivable (A/R),-222.95,Transaction 559,Counterparty 559
2023-04-22,Office expenses:Rent,-1643.76,Transaction 560,Counterparty 560
2023-08-10,CHASE CHE *8731,-2960.25,Transaction 561,Counterparty 561
2024-02-15,CHASE SAV *2868,-1730.12,Transaction 562,Counterparty 562
2024-02-13,Receiving & Repayment of loans,444.84,Transaction 563,Counterparty 563
2023-12-13,Prepaid expenses for projects,-2097.39,Transaction 564,Counterparty 564
2023-08-13,R&D expenses:R&D software & other services,-1236.47,Transaction 565,Counterparty 565
2023-06-28,Other Expenses:Social Tax,-2525.53,Transaction 566,Counterparty 566
2024-03-10,Goodwill,2597.5,Transaction 567,Counterparty 567
2023-02-19,Stripe,-4256.8,Transaction 568,Counterparty 568
2023-04-03,Mercury Checking *8932,2100.72,Transaction 569,Counterparty 569
2024-03-22,Grants and other financial income,-499.53,Transaction 570,Counterparty 570
2023-06-04,Uncategorised Asset,3283.67,Transaction 571,Counterparty 571
2024-05-22,"Property, plant and equipment",-366.36,Transaction 572,Counterparty 572
2024-01-26,R&D expenses:R&D team salary,-3222.69,Transaction 573,Counterparty 573
2023-12-15,Stripe,1809.32,Transaction 574,Counterparty 574
2023-06-22,Opening Balance Equity,3454.81,Transaction 575,Counterparty 575
2024-01-11,Staff expenses:Corporate events,447.25,Transaction 576,Counterparty 576
2023-09-20,Retained Earnings,-4555.01,Transaction 577,Counterparty 577
2023-12-06,Taxes,1882.5,Transaction 578,Counterparty 578
2024-02-11,Marketing and sales:Marketing software & other services,982.43,Transaction 579,Counterparty 579
2024-01-03,Professional services:Professional services,-3569.25,Transaction 580,Counterparty 580
